Clock	Marker	Coefficient	
Hannum	cg20822990	-15.7	
Hannum	cg22512670	1.05	
Hannum	cg25410668	3.87	
Hannum	cg04400972	9.62	
Hannum	cg16054275	-11.1	
Hannum	cg10501210	-6.46	
Hannum	cg09809672	-0.74	
Hannum	cg22158769	-2.06	
Hannum	cg02085953	1.02	
Hannum	cg06639320	8.95	
Hannum	cg22454769	4.85	
Hannum	cg24079702	2.48	
Hannum	cg23606718	8.35	
Hannum	cg22016779	1.79	
Hannum	cg04474832	-7.1	
Hannum	cg03607117	10.7	
Hannum	cg07553761	3.72	
Hannum	cg00481951	-2.72	
Hannum	cg25478614	4.01	
Hannum	cg25428494	-1.81	
Hannum	cg02650266	10.2	
Hannum	cg08234504	-3.16	
Hannum	cg23500537	5.67	
Hannum	cg20052760	-12.6	
Hannum	cg16867657	10.8	
Hannum	cg22736354	4.42	
Hannum	cg06493994	9.42	
Hannum	cg06685111	-13.1	
Hannum	cg00486113	-10.7	
Hannum	cg13001142	-5.8	
Hannum	cg20426994	19.1	
Hannum	cg14361627	10.7	
Hannum	cg08097417	27.3	
Hannum	cg07955995	13.7	
Hannum	cg22285878	-20.7	
Hannum	cg03473532	-3.31	
Hannum	cg08540945	9.41	
Hannum	cg07927379	-1.42	
Hannum	cg16419235	-1.6	
Hannum	cg07583137	3.03	
Hannum	cg22796704	-10.6	
Hannum	cg19935065	13.4	
Hannum	cg23091758	-0.392	
Hannum	cg23744638	0.0859	
Hannum	cg04940570	11.6	
Hannum	cg11067179	14.7	
Hannum	cg22213242	23.7	
Hannum	cg06419846	13.4	
Hannum	cg02046143	-10.2	
Hannum	cg00748589	8.21	
Hannum	cg19722847	-5.66	
Hannum	cg18473521	8.85	
Hannum	cg01528542	-2.98	
Hannum	cg03032497	8.4	
Hannum	cg04875128	-4.37	
Hannum	cg21296230	8.39	
Hannum	cg09651136	-15.8	
Hannum	cg03399905	28	
Hannum	cg04416734	11.9	
Hannum	cg07082267	2.87	
Hannum	cg14692377	19.1	
Hannum	cg06874016	-4.37	
Hannum	cg21139312	17.1	
Hannum	cg02867102	-12.5	
Hannum	cg19283806	-4.29	
Hannum	cg14556683	-4.04	
Hannum	cg07547549	3.11	
Hannum	cg05442902	-22.7	
Hannum	cg08415592	-6.92	
Horvath-blood_skin_others	cg12140144	0.36318117	
Horvath-blood_skin_others	cg26933021	-0.09050009	
Horvath-blood_skin_others	cg20822990	-0.007025234	
Horvath-blood_skin_others	cg07312601	-0.1350924	
Horvath-blood_skin_others	cg09993145	-0.04263934	
Horvath-blood_skin_others	cg23605843	0.079387235	
Horvath-blood_skin_others	cg25410668	0.278005252	
Horvath-blood_skin_others	cg17879376	-0.202709389	
Horvath-blood_skin_others	cg14962509	0.18231053	
Horvath-blood_skin_others	cg24375409	-0.023804586	
Horvath-blood_skin_others	cg22851420	0.097197819	
Horvath-blood_skin_others	cg24107728	-0.106542738	
Horvath-blood_skin_others	cg14614643	-0.043392987	
Horvath-blood_skin_others	cg00257455	-0.161698597	
Horvath-blood_skin_others	cg23045908	0.137327056	
Horvath-blood_skin_others	cg15201877	0.39209762	
Horvath-blood_skin_others	cg18933331	-0.231762834	
Horvath-blood_skin_others	cg05675373	0.024479256	
Horvath-blood_skin_others	cg19269039	-0.017557985	
Horvath-blood_skin_others	cg16008966	-0.203907755	
Horvath-blood_skin_others	cg14565725	-0.035564076	
Horvath-blood_skin_others	cg05940231	-0.106704842	
Horvath-blood_skin_others	cg03984502	0.222121301	
Horvath-blood_skin_others	cg25256723	-0.120981399	
Horvath-blood_skin_others	cg16054275	-0.233968201	
Horvath-blood_skin_others	cg01459453	0.041907941	
Horvath-blood_skin_others	cg16599143	0.141980111	
Horvath-blood_skin_others	cg02275294	-0.142869288	
Horvath-blood_skin_others	cg21870884	-0.012681435	
Horvath-blood_skin_others	cg10501210	-0.316526361	
Horvath-blood_skin_others	cg02901139	-0.073114832	
Horvath-blood_skin_others	cg11298786	-0.196433893	
Horvath-blood_skin_others	cg09809672	-0.100326137	
Horvath-blood_skin_others	cg05940691	-0.059992468	
Horvath-blood_skin_others	cg12869659	-0.042567598	
Horvath-blood_skin_others	cg23028740	-0.009884695	
Horvath-blood_skin_others	cg10959651	-0.038209171	
Horvath-blood_skin_others	cg00522231	0.018122037	
Horvath-blood_skin_others	cg01752203	-0.0219794	
Horvath-blood_skin_others	cg23643435	0.012875413	
Horvath-blood_skin_others	cg01243072	-0.00132993	
Horvath-blood_skin_others	cg07589899	0.106602051	
Horvath-blood_skin_others	cg10855531	-0.300557382	
Horvath-blood_skin_others	cg22943590	-0.083177673	
Horvath-blood_skin_others	cg23398076	0.005661222	
Horvath-blood_skin_others	cg12082609	0.154152131	
Horvath-blood_skin_others	cg01447660	-0.115749983	
Horvath-blood_skin_others	cg02085953	0.019920164	
Horvath-blood_skin_others	cg15149655	0.200278685	
Horvath-blood_skin_others	cg22809047	0.118967117	
Horvath-blood_skin_others	cg06639320	0.019738695	
Horvath-blood_skin_others	cg22454769	0.05186605	
Horvath-blood_skin_others	cg00017842	0.156359902	
Horvath-blood_skin_others	cg23606718	0.700747251	
Horvath-blood_skin_others	cg22061831	-0.177458031	
Horvath-blood_skin_others	cg12757011	0.155998605	
Horvath-blood_skin_others	cg01620164	-0.065414051	
Horvath-blood_skin_others	cg12105450	0.009944802	
Horvath-blood_skin_others	cg00760938	0.077199533	
Horvath-blood_skin_others	cg10376763	-0.092087268	
Horvath-blood_skin_others	cg23077820	0.061010377	
Horvath-blood_skin_others	cg08166272	0.105439453	
Horvath-blood_skin_others	cg10523019	0.126151862	
Horvath-blood_skin_others	cg23462687	-0.18373491	
Horvath-blood_skin_others	cg20669012	0.126231651	
Horvath-blood_skin_others	cg03183882	-1.007388736	
Horvath-blood_skin_others	cg15910502	-0.133774268	
Horvath-blood_skin_others	cg12941369	0.024191779	
Horvath-blood_skin_others	cg02244028	0.004509242	
Horvath-blood_skin_others	cg24888989	1.230382387	
Horvath-blood_skin_others	cg00702638	0.725076159	
Horvath-blood_skin_others	cg07303143	0.734120702	
Horvath-blood_skin_others	cg26614073	-0.12422813	
Horvath-blood_skin_others	cg15988232	-0.058416229	
Horvath-blood_skin_others	cg16933388	0.133862484	
Horvath-blood_skin_others	cg19381811	-0.028321608	
Horvath-blood_skin_others	cg03019000	-0.084379082	
Horvath-blood_skin_others	cg01844642	0.093411763	
Horvath-blood_skin_others	cg04474832	0.120529911	
Horvath-blood_skin_others	cg03891319	-0.256080839	
Horvath-blood_skin_others	cg03607117	0.16978081	
Horvath-blood_skin_others	cg22264409	0.025065715	
Horvath-blood_skin_others	cg11205552	0.03974515	
Horvath-blood_skin_others	cg17321954	0.473386142	
Horvath-blood_skin_others	cg06796779	0.053573181	
Horvath-blood_skin_others	cg18303397	0.021787708	
Horvath-blood_skin_others	cg09025210	0.038797211	
Horvath-blood_skin_others	cg14423778	0.060485029	
Horvath-blood_skin_others	cg15277914	-0.033373318	
Horvath-blood_skin_others	cg07553761	0.26245025	
Horvath-blood_skin_others	cg06737494	0.063912268	
Horvath-blood_skin_others	cg01059398	-0.008853384	
Horvath-blood_skin_others	cg26824216	-0.160472039	
Horvath-blood_skin_others	cg25478614	0.1134933	
Horvath-blood_skin_others	cg07110949	0.002657343	
Horvath-blood_skin_others	cg23239150	0.070538403	
Horvath-blood_skin_others	cg21254939	0.021571616	
Horvath-blood_skin_others	cg23995914	0.140280611	
Horvath-blood_skin_others	cg23836737	-0.153545428	
Horvath-blood_skin_others	cg05960024	-0.001021528	
Horvath-blood_skin_others	cg10699857	-0.272483609	
Horvath-blood_skin_others	cg05024939	0.182892899	
Horvath-blood_skin_others	cg05106770	-0.059972415	
Horvath-blood_skin_others	cg06690548	0.09471733	
Horvath-blood_skin_others	cg02650266	0.028818953	
Horvath-blood_skin_others	cg01511232	0.169550787	
Horvath-blood_skin_others	cg25148589	0.078558981	
Horvath-blood_skin_others	cg24843443	0.023702386	
Horvath-blood_skin_others	cg03364683	0.036554692	
Horvath-blood_skin_others	cg21815258	0.326223519	
Horvath-blood_skin_others	cg12608692	-0.002412844	
Horvath-blood_skin_others	cg20755989	0.241204089	
Horvath-blood_skin_others	cg12238343	0.061944417	
Horvath-blood_skin_others	cg02328239	0.16436989	
Horvath-blood_skin_others	cg21878650	-0.128024668	
Horvath-blood_skin_others	cg26921969	0.395074581	
Horvath-blood_skin_others	cg10837404	-0.102091213	
Horvath-blood_skin_others	cg01883408	0.210085033	
Horvath-blood_skin_others	cg06448705	0.113571555	
Horvath-blood_skin_others	cg16983159	-0.165180675	
Horvath-blood_skin_others	cg08234504	-0.26152552	
Horvath-blood_skin_others	cg11006267	0.300526161	
Horvath-blood_skin_others	cg21874213	-0.172139583	
Horvath-blood_skin_others	cg23500537	0.233705722	
Horvath-blood_skin_others	cg26843711	0.110106802	
Horvath-blood_skin_others	cg08587542	-0.106508873	
Horvath-blood_skin_others	cg10345936	-0.012900832	
Horvath-blood_skin_others	cg16281600	0.047646923	
Horvath-blood_skin_others	cg03555227	0.191706264	
Horvath-blood_skin_others	cg14345676	0.001316012	
Horvath-blood_skin_others	cg14314729	-0.06706345	
Horvath-blood_skin_others	cg23517605	-0.07457332	
Horvath-blood_skin_others	cg01570885	-0.017483676	
Horvath-blood_skin_others	cg23375552	-0.149639186	
Horvath-blood_skin_others	cg20052760	-0.087362687	
Horvath-blood_skin_others	cg16867657	0.895062555	
Horvath-blood_skin_others	cg21572722	0.25892259	
Horvath-blood_skin_others	cg00194146	0.025139618	
Horvath-blood_skin_others	cg01527307	0.150122977	
Horvath-blood_skin_others	cg22736354	0.123149986	
Horvath-blood_skin_others	cg10699171	-0.017511895	
Horvath-blood_skin_others	cg06493994	0.194146067	
Horvath-blood_skin_others	cg04424621	0.038777571	
Horvath-blood_skin_others	cg02281167	0.050827556	
Horvath-blood_skin_others	cg03771840	0.063283934	
Horvath-blood_skin_others	cg06685111	-0.118050369	
Horvath-blood_skin_others	cg06462220	-0.400871124	
Horvath-blood_skin_others	cg08420066	-0.008791294	
Horvath-blood_skin_others	cg21467614	-0.041302664	
Horvath-blood_skin_others	cg12753631	-0.341572489	
Horvath-blood_skin_others	cg18501647	0.016362955	
Horvath-blood_skin_others	cg04576021	0.190381369	
Horvath-blood_skin_others	cg10192196	0.103900831	
Horvath-blood_skin_others	cg18468088	0.271258499	
Horvath-blood_skin_others	cg03894990	0.001522808	
Horvath-blood_skin_others	cg01740766	-0.048108887	
Horvath-blood_skin_others	cg16255583	-0.180263541	
Horvath-blood_skin_others	cg04642300	0.000163032	
Horvath-blood_skin_others	cg17266282	-0.042249296	
Horvath-blood_skin_others	cg07095347	-0.022007791	
Horvath-blood_skin_others	cg00073460	0.059375867	
Horvath-blood_skin_others	cg16333846	0.226865753	
Horvath-blood_skin_others	cg13221458	-0.03948023	
Horvath-blood_skin_others	cg05468948	0.1385783	
Horvath-blood_skin_others	cg00795927	-0.066373448	
Horvath-blood_skin_others	cg08911208	-0.094222318	
Horvath-blood_skin_others	cg22372849	-0.140115536	
Horvath-blood_skin_others	cg16012294	0.139311157	
Horvath-blood_skin_others	cg22679120	-0.040224477	
Horvath-blood_skin_others	cg13931228	-0.248553517	
Horvath-blood_skin_others	cg27009703	-0.177740737	
Horvath-blood_skin_others	cg11671968	0.12056816	
Horvath-blood_skin_others	cg26312920	0.006822853	
Horvath-blood_skin_others	cg19663246	-0.038644462	
Horvath-blood_skin_others	cg14396995	0.124112592	
Horvath-blood_skin_others	cg18442362	0.006510407	
Horvath-blood_skin_others	cg09748749	-0.202802695	
Horvath-blood_skin_others	cg20692569	0.031358837	
Horvath-blood_skin_others	cg23857078	0.234566322	
Horvath-blood_skin_others	cg21743182	0.002840957	
Horvath-blood_skin_others	cg09436502	0.056326271	
Horvath-blood_skin_others	cg00503840	0.048660992	
Horvath-blood_skin_others	cg04084157	0.358752386	
Horvath-blood_skin_others	cg14175438	-0.068289683	
Horvath-blood_skin_others	cg20665157	0.007167281	
Horvath-blood_skin_others	cg21184711	0.095030843	
Horvath-blood_skin_others	cg02383785	0.184785161	
Horvath-blood_skin_others	cg04528819	0.034464913	
Horvath-blood_skin_others	cg20426994	-0.10138815	
Horvath-blood_skin_others	cg08097417	0.871371912	
Horvath-blood_skin_others	cg02821342	-0.238319555	
Horvath-blood_skin_others	cg20397034	-0.243166838	
Horvath-blood_skin_others	cg03473532	-0.212957707	
Horvath-blood_skin_others	cg08280936	-0.236131315	
Horvath-blood_skin_others	cg08540945	-0.169692254	
Horvath-blood_skin_others	cg18769120	0.061912688	
Horvath-blood_skin_others	cg26101086	-0.157277248	
Horvath-blood_skin_others	cg19859445	0.187400893	
Horvath-blood_skin_others	cg07502389	0.315775924	
Horvath-blood_skin_others	cg18267374	-0.211900555	
Horvath-blood_skin_others	cg00582628	0.020113023	
